TT,Danh_Gia,Chat_Luong_Tai_Xe,Thoi_Gian_vs_Du_Kien
509,satisfied,1,-11.5625
510,satisfied,1,-11.5625
511,satisfied,1,-11.5625
512,satisfied,1,-9.375
513,satisfied,1,-11.5625
514,satisfied,1,-11.5625
515,satisfied,5,-11.09375
516,satisfied,1,-11.5625
517,satisfied,1,-12.8125
518,satisfied,1,-12.03125
519,satisfied,1,-11.5625
520,satisfied,1,-11.71875
521,satisfied,1,-11.5625
522,satisfied,1,-11.5625
523,satisfied,1,-11.875
524,satisfied,3,-11.5625
525,satisfied,6,-13.28125
526,satisfied,5,-11.5625
527,satisfied,1,-13.4375
528,satisfied,1,-11.5625
529,satisfied,5,-11.5625
530,satisfied,5,-11.5625
531,satisfied,1,-10.9375
532,satisfied,5,-11.5625
533,satisfied,1,-11.25
534,satisfied,3,-11.5625
535,satisfied,1,-11.5625
536,satisfied,1,-11.5625
537,satisfied,1,-11.5625
538,satisfied,1,-11.5625
539,satisfied,1,-11.5625
540,satisfied,1,-12.03125
541,satisfied,5,-11.5625
542,satisfied,5,-11.5625
543,satisfied,1,-11.09375
544,satisfied,3,-12.1875
545,satisfied,1,-11.5625
546,satisfied,1,-12.5
547,satisfied,1,-11.5625
548,satisfied,1,-8.59375
549,satisfied,4,-9.0625
550,satisfied,1,-12.34375
551,satisfied,1,-11.71875
552,satisfied,1,-11.5625
553,satisfied,4,-11.5625
554,satisfied,1,-11.5625
555,satisfied,1,-10.9375
556,satisfied,5,-11.09375
557,satisfied,1,-12.03125
558,satisfied,1,-11.875
559,satisfied,1,-12.1875
560,satisfied,1,-13.4375
561,satisfied,5,-10.78125
562,satisfied,5,-11.5625
563,satisfied,1,-11.5625
564,satisfied,5,-11.5625
565,satisfied,1,-13.4375
566,satisfied,3,-12.34375
567,satisfied,3,-11.5625
568,satisfied,1,-11.5625
569,satisfied,1,-11.5625
570,satisfied,1,-11.5625
571,satisfied,1,-11.5625
572,satisfied,1,-11.5625
573,satisfied,1,-7.1875
574,satisfied,1,-11.875
575,satisfied,1,-11.5625
576,satisfied,1,-11.5625
577,satisfied,1,-11.5625
578,satisfied,1,-11.5625
579,satisfied,1,-11.5625
580,satisfied,1,-11.5625
581,satisfied,1,-11.5625
582,satisfied,1,-12.34375
583,satisfied,4,-11.5625
584,satisfied,6,-12.8125
585,satisfied,1,-11.5625
586,satisfied,3,-11.5625
587,satisfied,1,-11.5625
588,satisfied,5,-12.03125
589,satisfied,5,-11.5625
590,satisfied,1,-11.5625
591,satisfied,1,-11.5625
592,satisfied,7,-11.5625
593,satisfied,1,-12.65625
594,satisfied,3,-11.5625
595,satisfied,1,-11.5625
596,satisfied,1,-11.5625
597,satisfied,1,-13.59375
598,satisfied,1,-11.09375
599,satisfied,1,-11.875
600,satisfied,1,-11.25
601,satisfied,1,-11.71875
602,satisfied,6,-11.5625
603,satisfied,1,-11.875
604,satisfied,1,-13.75
605,satisfied,2,-11.71875
606,satisfied,1,-11.5625
607,satisfied,1,-13.125
608,satisfied,1,-11.5625
609,satisfied,1,-11.5625
610,satisfied,1,-11.5625
611,satisfied,1,-11.5625
612,satisfied,1,-11.5625
613,satisfied,1,-11.5625
614,satisfied,7,-11.5625
615,satisfied,1,-14.0625
616,satisfied,1,-12.96875
617,satisfied,1,-11.5625
618,satisfied,1,-11.5625
619,satisfied,1,-12.96875
620,satisfied,4,-11.5625
621,satisfied,6,-11.5625
622,satisfied,1,-11.5625
623,satisfied,7,-10.15625
624,satisfied,4,-11.5625
625,satisfied,6,-11.5625
626,satisfied,4,-11.5625
627,satisfied,7,-13.90625
628,satisfied,5,-13.125
629,satisfied,1,-10.46875
630,satisfied,1,-11.25
631,satisfied,1,-11.5625
632,satisfied,1,-9.6875
633,satisfied,5,-11.5625
634,satisfied,1,-11.5625
635,satisfied,1,-11.71875
636,satisfied,1,-11.5625
637,satisfied,1,-12.03125
638,satisfied,1,-11.5625
639,satisfied,1,-9.84375
640,satisfied,1,-11.5625
641,satisfied,5,-12.96875
642,satisfied,1,-12.03125
643,satisfied,1,-10.3125
644,satisfied,5,-11.5625
645,satisfied,3,-11.5625
646,satisfied,1,-14.0625
647,satisfied,7,-11.5625
648,satisfied,5,-12.8125
649,satisfied,1,-11.71875
650,satisfied,1,-11.5625
651,satisfied,1,-11.5625
652,satisfied,1,-11.875
653,satisfied,1,-12.03125
654,satisfied,1,-11.5625
655,satisfied,1,-14.84375
656,satisfied,1,-11.5625
657,satisfied,1,-12.96875
658,satisfied,1,-11.5625
659,satisfied,1,-11.5625
660,satisfied,1,-11.5625
661,satisfied,1,-11.5625
662,satisfied,1,-12.65625
663,satisfied,1,-11.5625
664,satisfied,1,-11.5625
665,satisfied,1,-11.71875
666,satisfied,7,-10.9375
667,satisfied,1,-11.5625
668,satisfied,1,-12.1875
669,satisfied,1,-10.78125
670,satisfied,1,-11.5625
671,satisfied,5,-11.5625
672,satisfied,6,-11.5625
673,satisfied,1,-11.5625
674,satisfied,1,-11.5625
675,satisfied,7,-13.75
676,satisfied,1,-11.5625
677,satisfied,5,-11.5625
678,satisfied,1,-11.5625
679,satisfied,1,-8.90625
680,satisfied,6,-9.0625
681,satisfied,4,-11.5625
682,satisfied,1,-11.5625
683,satisfied,1,-11.875
684,satisfied,1,-11.5625
685,satisfied,1,-12.5
686,satisfied,5,-11.5625
687,satisfied,7,-11.5625
688,satisfied,6,-11.5625
689,satisfied,1,-11.71875
690,satisfied,1,-10.9375
691,satisfied,1,-11.09375
692,satisfied,1,-11.09375
693,satisfied,1,-11.5625
694,satisfied,1,-11.5625
695,satisfied,1,-12.34375
696,satisfied,1,-14.0625
697,satisfied,1,-11.5625
698,satisfied,1,-11.5625
699,satisfied,1,-11.5625
700,satisfied,1,-11.71875
701,satisfied,1,-11.5625
702,satisfied,1,-11.5625
703,satisfied,1,-11.5625
704,satisfied,1,-12.8125
705,satisfied,1,-11.5625
706,satisfied,1,-11.5625
707,satisfied,1,-11.5625
708,satisfied,5,-11.5625
709,satisfied,1,-11.71875
710,satisfied,1,
711,satisfied,1,-11.5625
712,satisfied,1,-11.5625
713,satisfied,1,-11.5625
714,satisfied,1,-11.5625
715,satisfied,1,-10.625
716,satisfied,1,-11.875
717,satisfied,1,-11.71875
718,satisfied,1,-11.5625
719,satisfied,1,-11.09375
720,satisfied,1,-11.5625
721,satisfied,1,-12.03125
722,satisfied,1,-11.71875
723,satisfied,6,-9.375
724,satisfied,1,-11.5625
725,satisfied,1,-11.5625
726,satisfied,1,-11.5625
727,satisfied,1,-11.5625
728,satisfied,1,-11.5625
729,satisfied,1,-11.5625
730,satisfied,1,-12.65625
731,satisfied,1,-11.5625
732,satisfied,1,-12.5
733,satisfied,7,-10.78125
734,satisfied,1,-13.90625
735,satisfied,1,-11.5625
736,satisfied,1,
737,satisfied,6,-11.5625
738,satisfied,1,-10.3125
739,satisfied,1,-11.5625
740,satisfied,7,-12.1875
741,satisfied,1,-11.5625
742,satisfied,1,-12.34375
743,satisfied,6,-11.71875
744,satisfied,7,-13.125
745,satisfied,6,-11.5625
746,satisfied,1,-12.03125
747,satisfied,1,-11.5625
748,satisfied,1,-11.5625
749,satisfied,6,-12.34375
750,satisfied,1,-11.5625
751,satisfied,5,-13.125
752,satisfied,1,-11.5625
753,satisfied,4,-9.6875
754,satisfied,1,-13.75
755,satisfied,1,-11.5625
756,satisfied,1,-11.875
757,satisfied,6,-11.5625
758,satisfied,1,-11.40625
759,satisfied,1,-11.5625
760,satisfied,5,-11.5625
761,satisfied,1,-11.5625
762,satisfied,1,-12.03125
763,satisfied,1,-11.5625
764,satisfied,1,-11.5625
765,satisfied,1,-11.5625
766,satisfied,1,-11.71875
767,satisfied,6,-11.5625
768,satisfied,1,-12.96875
769,satisfied,1,-11.5625
770,satisfied,1,-11.5625
771,satisfied,1,-10.78125
772,satisfied,7,-11.5625
773,satisfied,1,-11.5625
774,satisfied,1,-11.5625
775,satisfied,1,-11.5625
776,satisfied,1,-11.5625
777,satisfied,1,-11.5625
778,satisfied,1,-11.5625
779,satisfied,1,-11.5625
780,satisfied,1,-11.875
781,satisfied,1,-12.1875
782,satisfied,1,-11.5625
783,satisfied,7,-10.9375
784,satisfied,1,-12.34375
785,satisfied,7,-11.5625
786,satisfied,1,-12.65625
787,satisfied,1,-11.5625
788,satisfied,1,-11.5625
789,satisfied,1,-11.5625
790,satisfied,1,-12.96875
791,satisfied,1,-11.5625
792,satisfied,5,-11.5625
793,satisfied,3,-10.0
794,satisfied,1,-11.5625
795,dissatisfied,1,-11.5625
796,satisfied,7,-11.5625
797,satisfied,1,-11.5625
798,satisfied,5,-11.5625
799,dissatisfied,1,-11.25
800,satisfied,3,-10.9375
801,satisfied,7,-11.25
802,satisfied,3,-11.5625
803,dissatisfied,1,-11.5625
804,dissatisfied,1,-11.875
805,dissatisfied,1,-11.5625
806,satisfied,1,-11.5625
807,dissatisfied,1,-12.03125
808,satisfied,2,-11.5625
809,satisfied,1,-10.15625
810,dissatisfied,1,-12.5
811,dissatisfied,1,-9.53125
812,dissatisfied,1,-11.5625
813,dissatisfied,1,-11.5625
814,satisfied,1,-1.09375
815,satisfied,1,-11.5625
816,satisfied,1,-13.4375
817,satisfied,1,-9.6875
818,dissatisfied,1,
819,dissatisfied,1,-11.5625
820,satisfied,1,-11.25
821,dissatisfied,6,-11.5625
822,satisfied,1,-11.5625
823,dissatisfied,1,-13.4375
824,satisfied,1,-11.5625
825,satisfied,3,-9.84375
826,satisfied,1,-11.5625
827,satisfied,1,-11.5625
828,satisfied,1,-11.5625
829,satisfied,1,-12.03125
830,satisfied,1,-12.1875
831,dissatisfied,1,-11.5625
832,dissatisfied,1,-11.40625
833,satisfied,6,-11.5625
834,satisfied,1,-11.5625
835,satisfied,1,-11.5625
836,dissatisfied,1,-11.25
837,dissatisfied,1,-11.09375
838,satisfied,1,-13.75
839,satisfied,3,-11.5625
840,satisfied,3,-11.25
841,satisfied,1,-9.6875
842,satisfied,1,-11.5625
843,dissatisfied,1,-14.6875
844,dissatisfied,1,-11.5625
845,dissatisfied,1,-11.5625
846,satisfied,1,-11.5625
847,dissatisfied,1,-11.5625
848,satisfied,1,-15.0
849,dissatisfied,1,-8.75
850,dissatisfied,1,-11.40625
851,dissatisfied,1,-11.5625
852,satisfied,1,-11.5625
853,satisfied,1,-12.96875
854,dissatisfied,1,-12.65625
855,satisfied,1,-11.5625
856,satisfied,3,-10.9375
857,dissatisfied,5,-12.8125
858,dissatisfied,1,-11.5625
859,satisfied,2,-11.5625
860,dissatisfied,1,-12.1875
861,dissatisfied,1,-10.78125
862,satisfied,3,-11.5625
863,satisfied,1,-11.5625
864,dissatisfied,1,-11.875
865,satisfied,3,-10.15625
866,satisfied,1,-9.53125
867,dissatisfied,1,-12.1875
868,dissatisfied,1,-11.5625
869,dissatisfied,1,-11.71875
870,satisfied,2,-14.0625
871,satisfied,5,-11.71875
872,dissatisfied,1,-12.8125
873,satisfied,1,-11.5625
874,dissatisfied,1,-10.46875
875,dissatisfied,1,-11.5625
876,dissatisfied,1,-11.5625
877,dissatisfied,1,-13.125
878,satisfied,7,-11.5625
879,satisfied,1,-11.09375
880,satisfied,1,-12.34375
881,dissatisfied,1,-10.3125
882,satisfied,1,-11.875
883,dissatisfied,1,-11.5625
884,dissatisfied,5,-10.15625
885,satisfied,2,-11.5625
886,dissatisfied,1,-13.125
887,satisfied,3,-8.4375
888,dissatisfied,1,-11.5625
889,dissatisfied,1,-11.25
890,satisfied,1,-8.75
891,satisfied,1,-11.5625
892,dissatisfied,1,-11.5625
893,dissatisfied,5,-11.5625
894,dissatisfied,4,-9.84375
895,satisfied,2,-12.34375
896,satisfied,1,-11.5625
897,dissatisfied,1,-12.03125
898,satisfied,3,-11.5625
899,dissatisfied,1,-11.25
900,dissatisfied,5,-11.5625
901,dissatisfied,1,-13.28125
902,satisfied,2,-11.5625
903,satisfied,3,-11.5625
904,dissatisfied,5,-12.96875
905,dissatisfied,1,-11.5625
906,dissatisfied,1,-5.78125
907,dissatisfied,1,-12.1875
908,dissatisfied,1,-9.375
909,dissatisfied,5,-12.03125
910,satisfied,6,-11.5625
911,satisfied,1,-11.5625
912,dissatisfied,1,-11.5625
913,dissatisfied,1,-11.5625
914,satisfied,1,-10.625
915,dissatisfied,1,-11.875
916,dissatisfied,5,-4.375
917,dissatisfied,1,-10.0
918,satisfied,1,-12.65625
919,dissatisfied,1,-11.5625
